clones,lambda,sens,esp,ppv,npv
2,0.1,86.87258687258688,86.15942028985508,14.404609475032009,99.5931554385545
2,MEAN,86.87258687258688,86.15942028985508,14.404609475032009,99.5931554385545
2,SD,NA,NA,NA,NA
