"control_num","region","hypo_level","sensitivity","specificity","ppv","npv"
"1","roiAD","1",92.2779922779923,47.639751552795,4.51198791768926,99.5672868887927
"1","roiAD","4",96.9111969111969,47.991718426501,4.75829383886256,99.8277347114556
"1","roiAD","8",100,48.3022774327122,4.93051589567866,100
"1","w214","1",82.2410147991543,47.5333474486555,7.2778297474275,98.1635330126804
"1","w214","4",92.3890063424947,47.3851365657421,8.08211577584613,99.2021276595745
"1","w214","8",99.154334038055,47.4592420071988,8.6340206185567,99.9108535770002
"1","w271","1",88.9655172413793,48.8253208614314,12.0560747663551,98.249069818341
"1","w271","4",95.8620689655172,48.6295410050033,12.827611664821,99.333481448567
"1","w271","8",99.448275862069,48.5207744180988,13.2196552988632,99.9104143337066
"1","w32","1",100,46.3402322059566,0.262713454681929,100
"1","w32","4",100,46.3907117617365,0.262960180315552,100
"1","w32","8",100,46.3907117617365,0.262960180315552,100
"10","roiAD","1",84.4,49.032992036405,4.10585717065577,99.18410041841
"10","roiAD","4",95.6,49.3742889647326,4.65523957927542,99.7701149425287
"10","roiAD","8",100,48.9812803805978,4.82346131584025,100
"10","w214","1",78.2764811490126,49.2095706045717,8.3991523791177,97.4407783417936
"10","w214","4",90.4847396768402,48.9318521683401,9.5364238410596,98.8562796719896
"10","w214","8",97.1274685816876,48.5259559923093,10.0932835820896,99.6490458433867
"10","w271","1",81.2820512820513,50.1477185687712,12.2157996146435,96.9126665256925
"10","w271","4",92.6923076923077,49.5349600612759,13.552014995314,98.7565445026178
"10","w271","8",98.7179487179487,49.0972754130649,14.2014016967909,99.7776295307983
"10","w32","1",88.8888888888889,47.9515640766902,0.154858691444057,99.9789606564275
"10","w32","4",100,47.8506559031281,0.173845856673749,100
"10","w32","8",100,47.8405650857719,0.173812282734647,100
"11","roiAD","1",94.5255474452555,47.6827371695179,4.88218661639962,99.6749024707412
"11","roiAD","4",97.8102189781022,48.4603421461897,5.11548005344531,99.8717948717949
"11","roiAD","8",100,49.0720580611716,5.28345545699962,100
"11","w214","1",86.6086956521739,48.2234589041096,9.3328335832084,98.3198778092952
"11","w214","4",93.9130434782609,48.4053938356164,10.0727476217124,99.2321193505924
"11","w214","8",97.9130434782609,48.5017123287671,10.4744186046512,99.7359154929577
"11","w271","1",91.5337423312884,49.5057117750439,13.9621935242373,98.4921328671329
"11","w271","4",96.1963190184049,49.5716168717047,14.5860465116279,99.3177816901408
"11","w271","8",98.7730061349693,49.6045694200351,14.9267569071018,99.7790543526292
"11","w32","1",100,46.2680537319463,0.337204945672537,100
"11","w32","4",100,46.2175537824462,0.336889387984278,100
"11","w32","8",100,46.1973538026462,0.336763330215154,100
"12","roiAD","1",42.4657534246575,84.0721649484536,5.67765567765568,98.4784446322908
"12","roiAD","4",53.4246575342466,82.8865979381443,6.58413055711874,98.7472365512159
"12","roiAD","8",74.4292237442922,78.680412371134,7.30614074406096,99.2715920915713
"12","w214","1",2.96442687747036,83.1934558589185,0.939261114589856,94.0999759673156
"12","w214","4",12.4505928853755,82.4604270689472,3.67561260210035,94.6008531383303
"12","w214","8",61.2648221343874,81.196217996388,14.9038461538462,97.4996810817706
"12","w271","1",3.86100386100386,83.5265806169328,1.953125,91.0891089108911
"12","w271","4",14.6718146718147,83.2203019033034,6.91747572815534,91.9840406238665
"12","w271","8",66.4092664092664,81.4045066725005,23.2851985559567,96.6117097234844
"12","w32","1",0,83.7979797979798,0,99.7714972940469
"12","w32","4",0,84.2323232323232,0,99.7726728882508
"12","w32","8",57.8947368421053,81.5858585858586,0.599781897491821,99.9010513296228
"13","roiAD","1",44.5512820512821,79.5461642552306,6.606463878327,97.786308381318
"13","roiAD","4",57.6923076923077,77.8911210575622,7.8125,98.2665791201576
"13","roiAD","8",76.6025641025641,77.4435307588217,9.9334995843724,99.0283508585119
"13","w214","1",10.9689213893967,77.4434485702091,2.75988960441582,93.7120723047127
"13","w214","4",30.164533820841,77.0379854886897,7.12127751402676,94.9750065772165
"13","w214","8",71.4808043875686,77.5821596244132,15.6902086677368,97.899555675239
"13","w271","1",10.3174603174603,77.5619338644549,3.65510777881912,91.2909441233141
"13","w271","4",38.0952380952381,76.6779439048346,11.8762886597938,93.7550040032026
"13","w271","8",77.2486772486772,77.9220779220779,22.4012274645186,97.6477024070022
"13","w32","1",0,76.7359709325797,0,99.8555292881534
"13","w32","4",0,75.4238998788857,0,99.8530197755211
"13","w32","8",9.09090909090909,74.9192571659265,0.0402252614641995,99.8654648190502
"14","roiAD","1",35.1254480286738,84.8340248962656,6.28205128205128,97.8346692188061
"14","roiAD","4",53.0465949820789,81.7116182572614,7.74463631606489,98.3641358641359
"14","roiAD","8",86.7383512544803,71.804979253112,8.17567567567568,99.4683144129904
"14","w214","1",9.49263502454992,83.3154275891706,3.60024829298572,93.343765045739
"14","w214","4",37.8068739770867,79.4370434035239,10.7692307692308,95.1119114998714
"14","w214","8",80.0327332242226,75.1396648044693,17.4455940064217,98.2855536818437
"14","w271","1",9.65116279069767,83.0444861463738,5.1266213712168,90.6385542168675
"14","w271","4",55,77.7458880671156,19.003615910004,94.7913862718708
"14","w271","8",85.1162790697674,74.3790705375869,23.9764166393711,98.1357413341101
"14","w32","1",0,84.4834543987086,0,99.9164777472855
"14","w32","4",0,82.3748991121873,0,99.9143416544298
"14","w32","8",14.2857142857143,80.6497175141243,0.0521104742053153,99.925
"15","roiAD","1",92,47.8332816216775,4.3610163064088,99.5694294940797
"15","roiAD","4",97.6,47.6367773296101,4.59770114942529,99.8699045967042
