"control_num","region","hypo_level","sensitivity","specificity","ppv","npv"
"C1","roiAD","1",100,50.6045548654244,5.20365296803653,100
"C1","roiAD","2",100,50.6045548654244,5.20365296803653,100
"C1","roiAD","4",100,50.6045548654244,5.20365296803653,100
"C1","roiAD","6",100,50.6045548654244,5.20365296803653,100
"C1","roiAD","8",100,50.6045548654244,5.20365296803653,100
"C1","w214","1",99.5771670190275,51.7277154351048,9.46301369863014,99.95499549955
"C1","w214","4",99.5771670190275,51.7277154351048,9.46301369863014,99.95499549955
"C1","w214","8",99.5771670190275,51.7277154351048,9.46301369863014,99.95499549955
"C1","w271","1",100,53.1694583423972,14.5662100456621,100
"C1","w271","4",100,53.1694583423972,14.5662100456621,100
"C1","w271","8",100,53.1694583423972,14.5662100456621,100
"C1","w32","1",100,49.3528520949016,0.281278538812785,100
"C1","w32","4",100,49.3528520949016,0.281278538812785,100
"C1","w32","8",100,49.3528520949016,0.281278538812785,100
"C10","roiAD","1",100,50.5574516496018,5.02283105022831,100
"C10","roiAD","4",100,50.5574516496018,5.02283105022831,100
"C10","roiAD","8",100,50.5574516496018,5.02283105022831,100
"C10","w214","1",98.9228007181328,52.1448408459731,11.0703196347032,99.8649864986499
"C10","w214","4",98.9228007181328,52.1448408459731,11.0703196347032,99.8649864986499
"C10","w214","8",98.9228007181328,52.1448408459731,11.0703196347032,99.8649864986499
"C10","w271","1",99.6153846153846,53.4533318743845,15.6109589041096,99.9324932493249
"C10","w271","4",99.6153846153846,53.4533318743845,15.6109589041096,99.9324932493249
"C10","w271","8",99.6153846153846,53.4533318743845,15.6109589041096,99.9324932493249
"C10","w32","1",100,49.3279515640767,0.180821917808219,100
"C10","w32","4",100,49.3279515640767,0.180821917808219,100
"C10","w32","8",100,49.3279515640767,0.180821917808219,100
"C11","roiAD","1",100,50.6832555728357,5.50502283105023,100
"C11","roiAD","4",100,50.6832555728357,5.50502283105023,100
"C11","roiAD","8",100,50.6832555728357,5.50502283105023,100
"C11","w214","1",99.6521739130435,52.2923801369863,11.5123287671233,99.95499549955
"C11","w214","4",99.6521739130435,52.2923801369863,11.5123287671233,99.95499549955
"C11","w214","8",99.6521739130435,52.2923801369863,11.5123287671233,99.95499549955
"C11","w271","1",99.8773006134969,53.6829964850615,16.3543378995434,99.977497749775
"C11","w271","4",99.8773006134969,53.6829964850615,16.3543378995434,99.977497749775
"C11","w271","8",99.8773006134969,53.6829964850615,16.3543378995434,99.977497749775
"C11","w32","1",100,49.3727906272094,0.361643835616438,100
"C11","w32","4",100,49.3727906272094,0.361643835616438,100
"C11","w32","8",100,49.3727906272094,0.361643835616438,100
"C12","roiAD","1",100,50.3958762886598,4.4,100
"C12","roiAD","4",100,50.3958762886598,4.4,100
"C12","roiAD","8",100,50.3958762886598,4.4,100
"C12","w214","1",99.604743083004,51.909061935621,10.1260273972603,99.95499549955
"C12","w214","4",99.604743083004,51.909061935621,10.1260273972603,99.95499549955
"C12","w214","8",99.604743083004,51.909061935621,10.1260273972603,99.95499549955
"C12","w271","1",99.7425997425998,53.4478232334281,15.5707762557078,99.95499549955
"C12","w271","4",99.7425997425998,53.4478232334281,15.5707762557078,99.95499549955
"C12","w271","8",99.7425997425998,53.4478232334281,15.5707762557078,99.95499549955
"C12","w32","1",100,49.3777777777778,0.381735159817352,100
"C12","w32","4",100,49.3777777777778,0.381735159817352,100
"C12","w32","8",100,49.3777777777778,0.381735159817352,100
"C13","roiAD","1",98.7179487179487,50.8379306755491,6.18812785388128,99.9099909990999
"C13","roiAD","4",98.7179487179487,50.8379306755491,6.18812785388128,99.9099909990999
"C13","roiAD","8",98.7179487179487,50.8379306755491,6.18812785388128,99.9099909990999
"C13","w214","1",98.7202925045704,52.0774647887324,10.8493150684931,99.8424842484248
"C13","w214","4",98.7202925045704,52.0774647887324,10.8493150684931,99.8424842484248
"C13","w214","8",98.7202925045704,52.0774647887324,10.8493150684931,99.8424842484248
"C13","w271","1",98.8095238095238,53.2412965186074,15.0082191780822,99.7974797479748
"C13","w271","4",98.8095238095238,53.2412965186074,15.0082191780822,99.7974797479748
"C13","w271","8",98.8095238095238,53.2412965186074,15.0082191780822,99.7974797479748
"C13","w32","1",100,49.3379087605975,0.221004566210046,100
"C13","w32","4",100,49.3379087605975,0.221004566210046,100
"C13","w32","8",100,49.3379087605975,0.221004566210046,100
"C14","roiAD","1",99.2831541218638,50.6867219917012,5.56529680365297,99.95499549955
